date,store_location,revenue,units_sold,customer_footfall,marketing_spend,profit_margin_pct
2024-01-01,New York,45000,450,1200,5000,24.5
2024-01-08,New York,47200,470,1250,5200,25.1
2024-01-15,New York,46800,465,1230,5100,24.8
2024-01-22,New York,49000,490,1310,5500,25.4
2024-01-29,New York,51000,510,1380,5800,26.0
2024-02-05,Chicago,53200,530,1420,6000,26.5
2024-02-12,Chicago,52500,520,1390,5900,26.2
2024-02-19,Chicago,55000,550,1470,6200,27.0
2024-02-26,Chicago,58000,575,1520,6500,27.5
2024-03-04,San Francisco,60500,600,1600,6800,28.0
2024-03-11,San Francisco,62000,615,1640,7000,28.2
2024-03-18,San Francisco,61000,605,1610,6900,27.8
2024-03-25,San Francisco,95000,950,2500,12000,32.0
2024-04-01,Austin,64000,635,1690,7100,28.5
2024-04-08,Austin,66000,650,1720,7300,28.9
2024-04-15,Austin,67500,670,1760,7500,29.1
2024-04-22,Austin,69000,685,1800,7600,29.4
2024-04-29,Austin,71000,700,1850,7800,29.8
2024-05-06,Seattle,73000,720,1910,8000,30.2
2024-05-13,Seattle,22000,210,600,3000,12.0
2024-05-20,Seattle,76000,750,1980,8300,30.5
2024-05-27,Seattle,78500,770,2040,8500,31.0
2024-06-03,Seattle,80000,790,2100,8700,31.2
2024-06-10,Boston,82000,810,2150,8900,31.5
2024-06-17,Boston,84500,830,2200,9100,31.8
2024-06-24,Boston,87000,850,2280,9400,32.2
